# Phantom scrobbles — tracks Shazam falsely matches from ambient/vinyl noise.
# Format: artist<TAB>track (case-insensitive matching)
# Add new entries as they appear.
Tim Maia	Ela Partiu
Sicily & Mario Scalambrin	Tribal Tango (Scalambrin & Sicily Mix)
CitySound	The Open Road
Drippin So Pretty	Another Cup
Wolfgang Rübsam	Trio Sonata No. 6 in G Major, BWV 530: III. Allegro
Eric Demarsan	Thème de Gerbier (Bande originale du film "L'armée des ombres")
Ambassadors	Ain't Got the Love (Of One Girl On My Mind)
The Muppets	The Muppet Show Theme (2026)
DJ Suhadi	Gara Gara Bang Emok (feat. Ali Gangga) [DJ Remix]
Alexis Dante & J M Sicky	Get Up Dance (feat. Eva menson) [Christian Sims &amp; C.fontana Remix]
Krystal Klear	Piano Banana (Long Version)
JAde Wii	Ambiences
Pavel Gomziakov, Orquestra Gulbenkian & Erik Heide	Cello Concerto in C Major, Hob. VIIb:1: I. Moderato
